Index,Time(ns)
532000,2794
533000,2793
534000,2235
535000,2794
536000,2793
537000,4190
538000,2794
539000,2794
540000,2235
541000,2515
542000,2515
543000,2234
544000,2514
545000,2235
546000,2235
547000,2794
548000,2793
549000,2235
550000,3073
551000,2235
552000,2235
553000,2794
554000,2235
555000,2794
556000,2514
557000,2514
558000,3352
559000,2793
560000,2793
561000,2514
562000,2514
563000,3073
564000,2235
565000,3073
566000,2514
567000,2514
568000,2794
569000,2235
570000,3073
571000,2235
572000,2794
573000,3073
574000,2235
575000,2794
576000,2514
577000,2514
578000,1955
579000,2235
580000,2235
581000,3073
582000,2514
583000,2514
584000,3911
585000,2794
586000,2793
587000,2515
588000,2794
589000,2794
590000,2793
591000,2514
592000,2514
593000,2794
594000,2515
595000,2794
596000,2515
597000,2514
598000,3911
599000,2514
600000,2793
601000,2235
602000,2793
603000,2794
604000,2235
605000,2794
606000,2234
607000,3073
608000,2514
609000,2793
610000,2794
611000,2794
612000,2514
613000,2514
614000,3073
615000,2793
616000,3073
617000,2514
618000,2793
619000,2514
620000,2515
621000,2794
622000,2515
623000,2514
624000,2514
625000,2794
626000,2793
627000,3073
628000,2794
629000,1956
630000,2235
631000,2793
632000,2235
633000,2235
634000,2793
635000,2235
636000,2235
637000,2793
638000,3911
639000,2794
640000,3073
641000,2794
642000,2514
643000,2794
644000,2514
645000,4750
646000,2514
647000,2514
648000,2235
649000,2514
650000,2514
651000,2234
652000,2514
653000,2235
654000,3073
655000,2794
656000,2514
657000,2794
658000,2794
659000,2235
660000,2794
661000,2514
662000,2234
663000,2515
664000,2514
665000,2514
666000,2515
667000,2235
668000,2515
669000,2515
670000,3352
671000,2794
672000,2514
673000,2794
674000,2514
675000,2514
676000,2515
677000,2514
678000,3911
679000,2514
680000,3073
681000,2515
682000,3073
683000,3073
684000,2515
685000,2515
686000,3073
687000,2794
688000,3632
689000,2793
690000,3073
691000,3073
692000,2514
693000,2794
694000,2514
695000,2794
696000,3353
697000,3352
698000,2235
699000,2515
700000,2514
701000,2793
702000,2794
703000,2793
704000,2794
705000,2514
706000,2794
707000,2514
708000,2793
709000,2514
710000,3073
711000,3073
712000,2794
713000,2235
714000,4470
715000,2514
716000,2794
717000,2514
718000,2515
719000,2515
720000,2514
721000,3073
722000,3073
723000,3073
724000,2794
725000,2794
726000,2514
727000,3352
728000,2514
729000,2514
730000,2515
731000,3074
732000,2794
733000,2794
734000,3073
735000,3073
736000,2794
737000,3073
738000,3073
739000,2794
740000,2514
741000,2514
742000,2514
743000,3073
744000,2514
745000,2794
746000,2515
747000,2793
748000,2794
749000,2794
750000,3631
751000,2794
752000,2793
753000,3073
754000,2793
755000,2235
756000,2235
757000,2794
758000,2514
759000,2794
760000,3073
761000,3073
762000,2794
763000,3352
764000,2793
765000,3073
766000,2794
767000,3632
768000,2794
769000,2794
770000,2794
771000,2794
772000,2515
773000,3073
774000,2793
775000,3073
776000,2794
777000,2514
778000,2235
779000,2793
780000,2794
781000,3073
782000,2235
783000,3073
784000,2793
785000,3632
786000,2515
787000,3073
788000,3073
789000,2235
790000,2794
791000,2235
792000,2793
793000,2515
794000,2794
795000,2514
796000,2514
797000,2794
798000,2514
799000,3074
800000,2514
801000,2794
802000,2515
803000,2794
804000,2514
805000,3073
806000,2235
807000,2794
808000,2794
809000,2514
810000,2514
811000,4470
812000,2794
813000,2235
814000,2514
815000,2793
816000,2515
817000,2794
818000,3073
819000,1955
820000,2515
821000,2794
822000,2514
823000,2793
824000,4749
825000,2794
826000,2793
827000,2514
828000,2235
829000,2793
830000,2514
831000,2794
832000,4749
833000,3073
834000,2794
835000,2794
836000,2514
837000,2514
838000,3073
839000,2514
840000,2515
841000,2794
842000,2514
843000,2794
844000,2794
845000,3073
846000,2514
847000,2514
848000,3073
849000,3073
850000,2514
851000,2235
852000,3073
853000,2515
854000,3073
855000,3073
856000,3352
857000,3352
858000,2793
859000,3352
860000,2794
861000,3073
862000,3073
863000,3073
864000,2794
865000,2794
866000,3073
867000,2514
868000,2793
869000,3073
870000,3073
871000,3352
872000,2794
873000,3911
874000,2514
875000,2794
876000,3073
877000,2794
878000,3073
879000,2794
880000,2794
881000,2514
882000,2793
883000,3352
884000,3073
885000,3073
886000,2794
887000,3073
888000,2794
889000,2793
890000,2794
891000,2794
892000,2793
893000,2514
894000,2235
895000,3073
896000,2793
897000,2514
898000,2794
899000,2515
900000,2514
901000,2794
902000,3073
903000,2793
904000,2794
905000,2514
906000,2235
907000,2793
908000,2793
909000,3352
910000,2514
911000,2235
912000,2514
913000,3073
914000,3073
915000,2794
916000,3073
917000,2514
918000,3352
919000,2793
920000,2794
921000,3073
922000,3352
923000,3073
924000,2794
925000,2793
926000,2793
927000,2794
928000,2794
929000,2514
930000,2514
931000,3353
932000,2235
933000,2794
934000,2514
935000,2514
936000,2794
937000,2794
938000,3073
939000,2514
940000,2794
941000,2793
942000,3073
943000,3073
944000,2235
945000,2514
946000,2793
947000,3073
948000,2793
949000,3073
950000,3352
951000,2794
952000,2794
953000,2794
954000,3073
955000,2514
956000,2794
957000,2794
958000,2793
959000,3352
960000,3073
961000,2794
962000,3352
963000,3073
964000,2514
965000,3353
966000,3353
967000,3073
968000,2793
969000,2514
970000,3632
971000,2794
972000,3352
973000,2514
974000,2794
975000,3073
976000,2515
977000,3073
978000,2794
979000,2794
980000,3073
981000,2514
982000,2514
983000,2514
984000,2793
985000,2794
986000,2794
987000,5867
988000,3073
989000,2514
990000,3352
991000,2794
992000,2794
993000,2794
994000,2794
995000,3073
996000,2514
997000,3073
998000,3073
999000,3073
1000000,2235
1001000,2794
1002000,3073
1003000,2794
1004000,3073
1005000,2793
1006000,2794
1007000,2794
1008000,3353
1009000,2794
1010000,2515
1011000,2514
1012000,2514
1013000,2794
1014000,3073
1015000,2235
1016000,3073
1017000,2514
